"Gene_ID","WT_LP1:read count","WT_LP2:read count","WT_EP1:read count","WT_EP2:read count","WT_SP1:read count","WT_SP2:read count"
"gene-SAUSA300_RS02325",3109,3181,1097,981,765,729
"gene-SAUSA300_RS02330",446,490,282,251,404,491
"gene-SAUSA300_RS02335",141,176,56,63,125,128
"gene-SAUSA300_RS02340",1266,1253,609,475,1037,1043
"gene-SAUSA300_RS02345",11991,13181,8266,7383,12007,12376
"gene-SAUSA300_RS02350",250,323,82,55,65,61
"gene-SAUSA300_RS02355",120,125,58,80,65,79
"gene-SAUSA300_RS02360",269,345,195,149,219,247
"gene-SAUSA300_RS02365",4327,4094,594,553,466,455
"gene-SAUSA300_RS02370",2701,2727,335,337,327,253
"gene-SAUSA300_RS02375",67,72,97,61,115,123
"gene-SAUSA300_RS02380",1162,1133,1872,1580,458,539
"gene-SAUSA300_RS02385",446,412,453,353,169,194
"gene-SAUSA300_RS02395",1661,1854,17721,13659,200,179
"gene-SAUSA300_RS02400",1269,1258,9831,8576,71,103
"gene-SAUSA300_RS02405",314,353,1529,1242,41,31
"gene-SAUSA300_RS02410",2,4,5,2,4,0
"gene-SAUSA300_RS02415",371,392,226,175,230,246
"gene-SAUSA300_RS02420",6583,5985,2297,1821,1553,1472
"gene-SAUSA300_RS02425",3417,3711,804,678,850,1047
"gene-SAUSA300_RS02430",2838,2717,556,445,682,783
"gene-SAUSA300_RS02435",10,10,3,7,4,1
"gene-SAUSA300_RS02455",589,672,338,284,227,174
"gene-SAUSA300_RS02460",92,149,46,28,36,31
